user_name                                 user_id
--------------------------------------  ---------
aggressive-agreeable-beaver                897856
aggressive-agreeable-greategret           1154506
aggressive-agreeable-puma                  902107
aggressive-agreeable-takin                 569831
aggressive-alive-taruca                    901477
aggressive-attractive-suslik               898729
aggressive-bald-lechwe                     900883
aggressive-beautiful-gentoopenguin        1016719
aggressive-brave-elephantseal             1121410
aggressive-brave-panther                  1046974
aggressive-calm-starfish                   921352
aggressive-clean-snarespenguin             937894
aggressive-clever-hippopotamus             936022
aggressive-clever-sable                   1257983
aggressive-dead-bengaltiger                897976
aggressive-dead-kinkajou                  1084063
aggressive-dead-springhaas                 819574
aggressive-dead-walrus                    1179643
aggressive-delightful-dingo                888751
aggressive-delightful-kingpenguin         1157812
aggressive-delightful-phascogale          1109296
aggressive-drab-bengaltiger                903361
aggressive-drab-nakedmolerat              1245413
aggressive-elegant-emu                     900958
aggressive-elegant-gazelle                1056391
aggressive-faithful-nyala                  898027
aggressive-famous-cat                     1064575
aggressive-fit-cattle                      558050
aggressive-fit-harpseal                    511908
aggressive-gentle-grivet                   829728
aggressive-gentle-langur                   913705
aggressive-gentle-robin                    899173
aggressive-gentle-snowshoehare            1027246
aggressive-gifted-hutia                   1028029
aggressive-gifted-meerkat                  543494
aggressive-glamorous-llama                 897496
aggressive-gorgeous-butterflyfish          550178
aggressive-gorgeous-jackrabbit             240403
aggressive-hallowed-americanwolf           899335
aggressive-hallowed-siamang                897409
aggressive-hallowed-turkey                 896596
aggressive-handsome-baikalseal             903565
aggressive-happy-crabeatingfox             900307
aggressive-happy-fishingcat                628930
aggressive-inexpensive-emu                 781735
aggressive-kind-gibbon                    1074508
aggressive-lively-titi                     540797
aggressive-long-onager                    1211569
aggressive-nice-mallard                   1108999
aggressive-nice-moose                     1131295
aggressive-nice-redfox                    1200433
aggressive-obedient-eland                  184692
aggressive-odd-dunnart                    1160605
aggressive-plain-flyingfish               1066873
aggressive-plain-seaotter                 1022158
aggressive-poor-turkey                     581303
aggressive-powerful-badger                 512457
aggressive-powerful-dwarfzebu              955318
aggressive-powerful-pufferfish             538019
aggressive-proud-giantforesthog           1160827
aggressive-quaint-africanbuffalo           555506
aggressive-shapely-gentoopenguin           914428
aggressive-shapely-pygmyhog               1032586
aggressive-short-commonseal               1088227
aggressive-shy-caracal                    1029967
aggressive-shy-starnosedmole               352267
aggressive-skinny-emperortamarin          1160794
aggressive-skinny-greaterbilby             509235
aggressive-skinny-pigletsquid              900826
aggressive-skinny-takin                    899392
aggressive-stocky-hutia                   1144141
aggressive-tender-dikdik                   373780
aggressive-thankful-starfish              1199620
aggressive-unimportant-turkey              968035
aggressive-unkempt-tayra                   670171
aggressive-unsightly-lessergrison          901339
aggressive-vast-beaver                     973234
aggressive-vast-flyingfish                 309554
aggressive-victorious-crabeaterseal        540251
aggressive-victorious-cuscus               860761
aggressive-victorious-giantforesthog      1085644
aggressive-victorious-kinkajou            1012441
aggressive-victorious-robin                554282
aggressive-witty-grivet                   1063027
aggressive-wrong-easternmole              1000771
agreeable-aggressive-bushdog              1136140
agreeable-agreeable-lion                  1231209
agreeable-alive-blackstork                 574808
agreeable-attractive-pangolin              512793
agreeable-bald-blackstork                  581774
agreeable-bald-dikdik                      897382
agreeable-beautiful-domesticgoat           765568
agreeable-beautiful-drill                  913120
agreeable-brave-domesticsheep             1109809
agreeable-calm-beardedseal                 556454
agreeable-calm-glassfrog                  1137810
agreeable-careful-okapi                    677038
agreeable-chubby-octopus                   242774
agreeable-clean-oryx                       899752
agreeable-dead-alpaca                      738172
agreeable-dead-geladababoon                988576
agreeable-delightful-ocelot                895813
agreeable-drab-guenon                      415793
agreeable-eager-chipmunk                  1043392
agreeable-eager-hutia                     1020502
agreeable-easy-leopardseal                1133062
agreeable-easy-royalpenguin                491271
agreeable-elegant-kodkod                   966787
agreeable-faithful-chickadee               516903
agreeable-famous-serval                    903376
agreeable-famous-wolverine                 382669
agreeable-fancy-duiker                     581315
agreeable-fit-canary                       291729
agreeable-fit-chimpanzee                   539360
agreeable-fit-gazelle                      458716
agreeable-flabby-africanlinsang            897613
agreeable-gentle-goldenmole               1046035
agreeable-glamorous-tur                   1074265
agreeable-gorgeous-easternmole             898501
agreeable-gorgeous-okapi                   938761
agreeable-happy-antelope                   543479
agreeable-helpful-sumatrantiger           1142080
agreeable-important-dingo                 1161010
agreeable-important-fisher                1227922
agreeable-important-liger                  536531
agreeable-important-owl                   1077598
agreeable-inexpensive-colubus              901351
agreeable-jolly-dog                       1096753
agreeable-jolly-domesticsheep             1237621
agreeable-jolly-squirrelmonkey             256534
agreeable-jolly-suslik                    1007878
agreeable-jolly-titi                       239246
agreeable-mealy-fallowdeer                  92742
agreeable-mealy-geladababoon               899029
agreeable-muscular-pygmyoctopus            999151
agreeable-nice-aardvark                    296226
agreeable-nice-chuditch                    510444
agreeable-nice-dormouse                    555020
agreeable-nice-surili                      893833
agreeable-nice-taruca                      914899
agreeable-plain-hornedlizard              1160806
agreeable-plump-goldenmole                1058389
agreeable-powerful-sclaterslemur          1070902
agreeable-proud-gentoopenguin              575033
agreeable-quaint-aardwolf                 1197751
agreeable-quaint-chameleon                 705181
agreeable-rich-antelope                   1044478
agreeable-scruffy-agouti                  1078516
agreeable-scruffy-giantforesthog           921181
agreeable-shapely-beardedseal              524537
agreeable-shapely-capebuffalo              904660
agreeable-shapely-civetcat                 901468
agreeable-shapely-dibbler                  403667
agreeable-shy-colubus                      446384
agreeable-shy-guineapig                    510018
agreeable-skinny-jerboa                   1103263
agreeable-skinny-khanyou                   899767
agreeable-skinny-snowleopard              1041871
agreeable-stocky-guanaco                   900844
agreeable-stocky-honeybadger               900097
agreeable-stocky-hummingbird               899011
agreeable-stocky-leafyseadragon            856027
agreeable-stocky-pygmyhog                  898450
agreeable-tender-nakedmolerat              897427
agreeable-thankful-klipspringer           1211488
agreeable-ugly-lutung                      527633
agreeable-unimportant-butterfly           1129756
agreeable-unimportant-manatee             1109215
agreeable-uninterested-suslik             1039864
agreeable-unkempt-giantsquid               900109
agreeable-unkempt-zorilla                 1198471
agreeable-unsightly-bonobo                 158573
agreeable-vast-domesticsheep              1237483
agreeable-wonderful-honeybadger           1246343
agreeable-zealous-coelacanth               994996
agreeable-zealous-eurasianotter            704191
agreeable-zealous-flamingo                 292432
alive-aggressive-moose                     897724
alive-aggressive-toucan                   1138260
alive-agreeable-kob                       1043428
alive-agreeable-mink                      1198345
alive-alive-hummingbird                    910651
alive-attractive-wombat                   1138738
alive-brave-turkey                         554276
alive-calm-okapi                          1044271
alive-dazzling-klipspringer               1022905
alive-dead-warthog                         901783
alive-delightful-capybara                  578993
alive-delightful-dwarfrabbit               474558
alive-delightful-narwhal                  1043083
alive-drab-dikdik                          898051
alive-easy-bison                          1142485
alive-easy-lessergrison                   1067215
alive-easy-suslik                          884875
alive-elegant-flamingo                     904033
alive-elegant-honeybadger                  837985
alive-elegant-starfish                    1160542
alive-faithful-leopardseal                 619735
alive-faithful-seahorse                    925078
alive-famous-fishingcat                    492055
alive-fancy-chimpanzee                     626284
alive-flabby-ibex                         1200277
alive-flabby-starfish                      541247
alive-gentle-coati                         899956
alive-gifted-blackbuck                     899080
alive-gifted-mink                          902452
alive-glamorous-domesticsheep             1205317
alive-happy-dugong                        1157728
alive-happy-numbat                         337909
alive-helpful-stellarsealion              1237431
alive-important-coati                      901885
alive-jolly-arcticfox                     1192042
alive-lively-greategret                   1057324
alive-long-chicken                         902023
alive-long-porcupine                      1083745
alive-magnificent-pudu                    1050925
alive-muscular-macaque                    1033021
alive-muscular-nudibranch                  541181
alive-nice-axolotl                         899452
alive-nice-galago                          903475
alive-nice-squirrelmonkey                  555956
alive-obedient-europeanwolf               1000789
alive-obedient-mountainbeaver              551534
alive-obedient-quokka                      901123
alive-obedient-talapoin                    493101
alive-odd-barbirusapig                    1268563
alive-plump-guenon                        1135114
alive-polite-bluemonkey                    371004
alive-poor-octopus                         893725
alive-powerful-dwarfrabbit                1161388
alive-powerful-starnosedmole              1150189
alive-proud-snarespenguin                  955006
alive-scruffy-talapoin                    1209115
alive-short-moose                          903874
alive-shy-eurasianotter                    340786
alive-skinny-canary                       1173643
alive-thankful-pocketgopher               1042744
alive-thankful-pygmyhog                    998764
alive-unimportant-beardedsaki              545453
alive-uninterested-firefly                 899140
alive-uninterested-geoffroyscat            816985
alive-unkempt-redfox                       808741
alive-vast-beira                           288167
alive-vast-cheetah                         901594
alive-wonderful-markhor                   1154536
alive-wrong-goldenmole                    1038757
alive-zealous-bushdog                      355376
ambitious-aggressive-butterfly             519254
ambitious-aggressive-snarespenguin        1108576
ambitious-ambitious-horseshoecrab         1197886
ambitious-ambitious-longtailedtit          545129
ambitious-attractive-greategret            833568
ambitious-beautiful-blacksquirrel          365183
ambitious-better-titi                      897889
ambitious-careful-dibbler                  901330
ambitious-dead-kinkajou                     17916
ambitious-drab-blackbuck                    74882
ambitious-eager-kultarr                    337215
ambitious-eager-ribbonseal                 897697
ambitious-easy-chuditch                   1214008
ambitious-faithful-bushdog                 899386
ambitious-famous-easternmole               386563
ambitious-famous-ringtailedcat             460205
ambitious-fancy-molerat                    901747
